true_beta_g,beta_frac_bias_median,parallax_frac_bias_median,m1_frac_bias_median,m2_frac_bias_median
0.05,-0.22635596412575545,0.00295988288785935,-0.0020503856767824,-0.00319508332064065
0.15,-0.17987271786534936,0.0051144716384356505,-0.0061010479769617,-0.006584938357634599
0.25,-0.12633646487657135,0.0051367214071790495,-0.006111732012769501,-0.0066186697453773004
0.35,-0.07167001012729735,0.0030052190523227502,-0.0023718108314289,-0.0031742341151242
0.45,-0.021216042927748,0.00102571991275315,0.0010362420345167,-0.0001886143365182
