external_level,ast_sigma_mas,rv_sigma_kms,model,n,chi2_median,delta_chi2_photo_minus_m2_median,delta_chi2_m1_minus_m2_median,frac_bias_m1_msun_median,frac_bias_m1_msun_q16,frac_bias_m1_msun_q84,frac_bias_m2_msun_median,frac_bias_m2_msun_q16,frac_bias_m2_msun_q84,frac_bias_parallax_mas_median,frac_bias_parallax_mas_q16,frac_bias_parallax_mas_q84,frac_bias_beta_g_median,frac_bias_beta_g_q16,frac_bias_beta_g_q84,success_fraction,scientific_valid_fraction
medium,1,0.5,equal_width,30,341.666793441,887.435672164,124.505299271,-0.00606095131218,-0.0196776341671,0.00683485376566,-0.00845072101855,-0.0178438962554,0.0107076621208,-0.0032438792686,-0.0084095532807,0.0013636374491,-0.0380848247611,-0.0518081795965,-0.0262315807635,1,1
medium,1,0.5,penoyre_oriented,30,214.3284299,887.435672164,124.505299271,0.000534006075211,-0.0129276459518,0.0135824807916,0.00230826740363,-0.0102622576362,0.0208286964799,-0.000654605414151,-0.00488650742892,0.00352548857679,0.00380186355696,-0.010399207268,0.0149465559583,1,1
medium,1,0.5,photocentre,30,1100.92716769,887.435672164,124.505299271,-0.0470150158015,-0.058792476489,-0.0329623704169,-0.0454598903141,-0.0554303194389,-0.03161018246,0.0280361054222,0.0193213922823,0.035508830391,-0.158185490774,-0.166099210387,-0.143441508584,1,1
strong,0.2,0.1,equal_width,30,360.258425962,1289.8422152,140.024680028,-0.000181428995747,-0.00424673609518,0.00223558099581,-0.000906842601232,-0.00298975470215,0.00347335880462,0.000174972246903,-0.00136317526895,0.00195458493439,-0.0330162745231,-0.0365759441927,-0.0302220365706,1,1
strong,0.2,0.1,penoyre_oriented,30,213.184118582,1289.8422152,140.024680028,0.000672534440545,-0.00330305796201,0.00282240648606,0.0000403579504542,-0.00201838124419,0.00457547875194,-0.0000378061203273,-0.00160474813778,0.00131515936053,0.000593775278987,-0.00293377309933,0.00334310298025,1,1
strong,0.2,0.1,photocentre,30,1502.36739584,1289.8422152,140.024680028,-0.0127337463304,-0.015894654967,-0.0100074549632,-0.0122962714169,-0.0150455899245,-0.00975145258972,0.00829643551422,0.00680724902296,0.00947717026609,-0.153426237655,-0.156926283928,-0.15079570093,1,1
weak,2,1,equal_width,30,331.769252392,807.610552389,116.35165162,-0.0101872288453,-0.0350322713261,0.0173873840711,-0.0139500142274,-0.03309836081,0.0228170716954,-0.0143555325121,-0.021954563166,-0.00474318031133,-0.0530326659714,-0.0813979987726,-0.0298283131318,1,1
weak,2,1,penoyre_oriented,30,215.455598906,807.610552389,116.35165162,0.000258374449799,-0.0232740703376,0.0282786320507,0.0073110349663,-0.0178978900831,0.0411174944915,-0.000830972667701,-0.00729860861472,0.0069531671299,0.00779318361692,-0.0199690940454,0.0291900733056,1,1
weak,2,1,photocentre,30,1024.57141668,807.610552389,116.35165162,-0.0560748676981,-0.0800514675977,-0.0288759851658,-0.0525828444052,-0.0733160489695,-0.0282501412794,0.0345440385208,0.0175017320441,0.0459712596577,-0.155468902961,-0.172809298132,-0.133509603655,1,1
