true_beta_g,a_over_sigma,median,q16,q84
0.05,0.4,1.487008281341815,-0.828642631302696,4.0233534712769305
0.05,0.5,5.009681997312171,0.334416253325054,10.740408898044786
0.05,0.6,13.317973799569302,4.640779487978186,25.590655392310474
0.05,0.8,64.64983103550179,35.36551498189507,104.60290143098274
0.05,1.0,207.45599334838641,120.02060961648014,316.66068604956035
0.15,0.4,6.3144240131379235,1.2290350386658484,13.627981327358297
0.15,0.5,22.745669596153462,10.396599134663093,42.7784139475855
0.15,0.6,68.91562470586626,36.34220840395646,112.96589766683927
0.15,0.8,371.34552857694564,207.07707333692912,570.5206423291737
0.15,1.0,1365.7292237720521,756.9915732520616,1974.1343657416219
0.25,0.4,7.502057041889842,1.933405853761766,16.54615724168906
0.25,0.5,28.340335781791907,13.791236884271662,51.43873485354493
0.25,0.6,88.97178482490916,48.14777187716355,145.72941719396317
0.25,0.8,525.5653570915774,290.010655267141,821.4254153844103
0.25,1.0,2187.591656112857,1216.8849530361852,3345.1271260353183
0.35,0.4,4.380299420638508,0.40224577786861787,10.16559989660529
0.35,0.5,16.90477381511964,7.163940567910074,32.27004630387955
0.35,0.6,53.603507184996346,27.712117569792078,92.38583144729382
0.35,0.8,346.01920437889714,187.4617761245216,552.8068267875332
0.35,1.0,1568.8863961790169,868.8220316568213,2537.7976229983233
0.45,0.4,0.7881651817934454,-0.6120121773611049,2.5463099668624434
0.45,0.5,2.680139657836108,-0.2059753248498521,6.613919128920322
0.45,0.6,7.842214307647367,2.0451152051586687,16.384637439779045
0.45,0.8,50.824781083412816,25.15308158830609,89.43746958387729
0.45,1.0,253.6908135004577,129.400544578677,405.1253883798159
