case,parallax_mas,n_free,dof,chi2,reduced_chi2
free,35.44258102227343,10,100,104.62895158620537,1.0462895158620538
fixed_header,54.27,9,101,168.94353010384296,1.6727082188499303
fixed_balega,31.0,9,101,108.70276626522207,1.076265012526951
